epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.7989,1.27661,3.19526,1.70969,0.00202,0.54167,0.00703,0.00353,1.29963,3.39709,1.74387,5.001e-05,5.001e-05,5.001e-05
2,30.0171,1.22151,3.19278,1.65269,0.00177,0.5,0.00627,0.00361,1.28794,3.39844,1.73518,0.000115535,0.000115535,0.000115535
3,33.4639,0.89628,3.06563,1.44723,0.0015,0.5,0.17938,0.10474,1.00041,3.27908,1.4257,0.000179739,0.000179739,0.000179739
4,37.917,0.64747,2.87482,1.29063,0.00159,0.5,0.1798,0.11395,1.27159,3.33434,1.70367,0.000242624,0.000242624,0.000242624
5,41.9334,0.5711,2.60332,1.2141,0.00181,0.5,0.326,0.27692,0.89922,3.21292,1.38946,0.000304187,0.000304187,0.000304187
6,45.2776,0.63278,2.33283,1.22341,0.00184,0.5,0.31697,0.17078,1.72542,3.42304,2.24047,0.000364431,0.000364431,0.000364431
7,48.8088,0.58145,2.03085,1.20173,0.00225,0.58333,0.37726,0.28373,1.34355,3.28291,1.82206,0.000423355,0.000423355,0.000423355
8,53.157,0.66319,1.90734,1.24367,0.00216,0.5,0.29173,0.14827,1.80537,3.16381,2.77026,0.000480958,0.000480958,0.000480958
9,56.9658,0.67867,1.83735,1.24631,0.71869,0.5,0.29351,0.14966,1.42037,3.0736,1.86677,0.000537241,0.000537241,0.000537241
10,60.4229,0.57224,1.56836,1.17165,0.67183,0.4375,0.33622,0.19889,1.19006,3.05283,1.58905,0.000592203,0.000592203,0.000592203
11,63.933,0.62283,1.55103,1.20971,0.71289,0.4375,0.29513,0.20904,1.19809,2.85231,1.51872,0.000645846,0.000645846,0.000645846
12,68.288,0.61226,1.48626,1.18025,0.83007,0.12194,0.34316,0.22497,1.31418,2.87381,1.78412,0.000698168,0.000698168,0.000698168
13,71.9694,0.58017,1.37956,1.20158,0.55279,0.4375,0.11131,0.04809,1.11972,3.07736,1.62696,0.00074917,0.00074917,0.00074917
14,75.3905,0.58549,1.41597,1.18422,0.69427,0.3125,0.24444,0.13055,1.68604,3.06395,2.57928,0.000798851,0.000798851,0.000798851
15,79.2555,0.55944,1.33188,1.1703,0.00197,0.54167,0.11195,0.06199,1.28583,3.10646,1.94328,0.000847213,0.000847213,0.000847213
16,83.0568,0.61781,1.38462,1.198,0.5679,0.28125,0.08353,0.04405,1.36977,3.07513,1.77205,0.000894254,0.000894254,0.000894254
17,86.8855,0.5958,1.29996,1.16472,0.66408,0.27494,0.16994,0.09749,1.30587,2.79344,1.94734,0.000939975,0.000939975,0.000939975
18,90.2636,0.66358,1.34977,1.24739,0.59287,0.16417,0.17655,0.15402,1.41924,2.80667,1.92162,0.000984375,0.000984375,0.000984375
19,94.5845,0.60002,1.28248,1.17842,0.60854,0.25,0.13127,0.10114,1.18673,2.6424,1.59785,0.00102746,0.00102746,0.00102746
20,98.449,0.53247,1.17433,1.14105,0.55679,0.125,0.08349,0.05044,2.1683,3.12365,2.50907,0.00106922,0.00106922,0.00106922
