epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.6259,3.08352,7.95671,3.01784,0.00019,0.19231,0.00012,3e-05,3.43326,9.91724,3.90879,6e-05,6e-05,6e-05
2,33.1943,3.24164,7.57165,3.07257,0.00023,0.23077,0.00014,3e-05,3.41389,9.95926,3.82535,0.000138614,0.000138614,0.000138614
3,38.1135,3.12588,7.73862,3.05836,0.00043,0.42308,0.00031,6e-05,3.01241,9.23051,3.58356,0.000215644,0.000215644,0.000215644
4,43.8089,2.55032,6.72698,2.64694,0.0007,0.69231,0.00381,0.00055,2.33455,8.10343,2.74746,0.00029109,0.00029109,0.00029109
5,48.3685,2.38569,5.89073,2.4317,0.00074,0.73077,0.01167,0.00302,2.36199,7.82806,2.83383,0.000364952,0.000364952,0.000364952
6,53.1581,2.17568,5.3127,2.22057,0.00081,0.80769,0.00709,0.00189,2.3625,8.07361,2.5385,0.00043723,0.00043723,0.00043723
7,58.366,2.06016,5.80403,2.07321,0.0007,0.69231,0.00503,0.00156,2.64344,9.07767,2.31221,0.000507924,0.000507924,0.000507924
8,62.8414,2.11113,5.38437,2.06823,0.0005,0.5,0.00055,0.00015,3.40703,12.8783,3.1139,0.000577034,0.000577034,0.000577034
9,67.4866,2.08091,4.72063,2.13644,0.00066,0.65385,0.00126,0.00027,3.31116,13.068,3.31732,0.00064456,0.00064456,0.00064456
10,72.491,2.06171,4.77294,2.16972,0.00078,0.76923,0.00367,0.00098,2.19457,7.71721,2.88906,0.000710502,0.000710502,0.000710502
11,77.0444,2.05074,4.52867,2.24525,0.00062,0.61538,0.001,0.00027,2.17355,8.15714,3.78982,0.00077486,0.00077486,0.00077486
12,81.6712,2.08815,4.70064,2.16539,0.00058,0.57692,0.00108,0.00038,2.60994,9.42203,3.32004,0.000837634,0.000837634,0.000837634
13,86.6134,1.95872,4.48652,2.18509,0.00054,0.53846,0.00065,0.00023,2.39703,8.19755,3.18928,0.000898824,0.000898824,0.000898824
14,91.3464,1.92109,3.95177,2.07573,0.00074,0.73077,0.00099,0.00028,2.30343,7.51235,4.41285,0.00095843,0.00095843,0.00095843
