epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.592,1.41756,5.12173,1.89472,0.14005,0.2619,0.1009,0.05661,1.63628,7.65753,2.18669,0.00010002,0.00010002,0.00010002
2,26.3616,1.39772,5.32837,1.92299,0.72044,0.33806,0.23239,0.19756,1.16232,6.51208,1.51621,0.000214565,0.000214565,0.000214565
3,31.2926,0.79194,2.13774,1.38664,0.19981,0.39632,0.23077,0.11953,2.10745,7.40344,3.47433,0.000326799,0.000326799,0.000326799
4,36.5001,0.67076,1.67956,1.31539,0.66372,0.42857,0.17904,0.09957,1.8361,8.07642,2.51236,0.000436722,0.000436722,0.000436722
5,40.9618,0.75673,1.61363,1.40387,0.62815,0.28571,0.13071,0.03613,2.48769,10.6471,2.97785,0.000544336,0.000544336,0.000544336
6,45.9092,0.96949,1.70531,1.44181,0.51212,0.04762,0.00824,0.00246,2.78758,7.09552,3.46637,0.000649638,0.000649638,0.000649638
7,50.6574,0.85691,1.43948,1.38431,0.59265,0.33333,0.10776,0.03699,2.05618,6.87748,2.756,0.00075263,0.00075263,0.00075263
8,55.1775,0.70173,1.33629,1.3239,0.67357,0.40476,0.29299,0.15453,1.42804,7.37272,2.1328,0.000853312,0.000853312,0.000853312
9,59.4878,0.63377,1.233,1.23614,0.61789,0.2381,0.09906,0.02931,2.78841,5.82161,4.3282,0.000951684,0.000951684,0.000951684
10,64.7751,0.73826,1.25592,1.30665,0.63425,0.33333,0.1443,0.05965,2.42203,3.80474,2.99238,0.00104774,0.00104774,0.00104774
11,69.1896,0.74655,1.28799,1.29205,0.06025,0.02381,0.00843,0.00163,3.42265,4.02004,3.77471,0.00114149,0.00114149,0.00114149
12,73.5742,0.79681,1.34711,1.33922,0.01861,0.02381,0.00242,0.00089,4.10929,4.21918,9.42724,0.00123293,0.00123293,0.00123293
13,78.7838,0.6759,1.2299,1.2549,0.022,0.04762,0.00439,0.00084,3.77204,5.2441,4.42051,0.00132206,0.00132206,0.00132206
14,83.0624,0.73687,1.36092,1.32026,0.00687,0.07143,0.00416,0.00072,3.51012,5.55312,4.0497,0.00140888,0.00140888,0.00140888
15,87.4084,0.70303,1.15219,1.27443,0.08037,0.19048,0.06924,0.01827,2.84667,4.40722,3.18204,0.00143595,0.00143595,0.00143595
16,92.7813,1.05606,1.30884,2.01027,0.08076,0.09524,0.05478,0.0088,3.2091,4.69302,4.06153,0.00141945,0.00141945,0.00141945
17,97.1848,0.70268,1.21814,1.29623,0.06879,0.02381,0.0062,0.0007,3.77188,7.16312,3.86214,0.00140295,0.00140295,0.00140295
18,101.527,0.68519,1.23565,1.28772,0.90259,0.02381,0.0233,0.02056,3.55016,4.40071,3.42456,0.00138644,0.00138644,0.00138644
19,106.806,0.82647,1.23553,1.4717,0.68702,0.19048,0.16774,0.05913,2.73675,3.64741,3.04034,0.00136994,0.00136994,0.00136994
20,111.598,0.58921,2.36152,1.11704,0.00014,0.09375,9e-05,3e-05,4.06505,8.32098,4.74987,0.00135344,0.00135344,0.00135344
21,116.058,0.6799,1.19778,1.28603,0.00016,0.0625,0.00026,3e-05,4.17217,6.49017,7.94247,0.00133693,0.00133693,0.00133693
22,121.332,0.6351,1.16021,1.27005,0.13616,0.17411,0.09815,0.05012,2.86727,11.1398,3.14105,0.00132043,0.00132043,0.00132043
23,125.956,0.80648,1.15417,1.46233,0.66938,0.2619,0.20297,0.0394,2.90733,4.60108,3.51681,0.00130393,0.00130393,0.00130393
24,130.494,0.75039,1.33188,1.34173,0.28599,0.43601,0.24626,0.19761,1.52288,12.2637,2.24346,0.00128742,0.00128742,0.00128742
25,135.896,0.66226,1.1485,1.23884,0.23718,0.43601,0.24053,0.21345,1.11061,11.3045,1.60107,0.00127092,0.00127092,0.00127092
26,140.811,0.66978,1.11245,1.3067,0.18226,0.26935,0.15372,0.04121,2.84448,7.37194,3.35774,0.00125442,0.00125442,0.00125442
27,145.216,0.57526,1.14118,1.20741,0.2158,0.40476,0.28849,0.23439,1.3153,4.44076,1.90316,0.00123791,0.00123791,0.00123791
28,150.618,0.7039,1.19202,1.30324,0.19123,0.2381,0.24054,0.15467,1.33742,5.39367,1.89395,0.00122141,0.00122141,0.00122141
29,155.327,0.73882,1.3204,1.30896,0.66778,0.33333,0.18924,0.13335,1.48262,4.25586,1.95077,0.00120491,0.00120491,0.00120491
30,159.832,0.62063,1.13352,1.23791,0.13084,0.30952,0.125,0.0736,1.41913,4.49602,2.1151,0.0011884,0.0011884,0.0011884
31,164.967,0.50017,0.94607,1.1572,0.57135,0.20223,0.07203,0.04461,1.57753,5.69884,2.24017,0.0011719,0.0011719,0.0011719
32,169.769,0.73156,1.00858,1.38351,0.39365,0.45089,0.14933,0.06278,1.64123,4.2555,2.31697,0.0011554,0.0011554,0.0011554
33,174.018,0.50843,0.89516,1.16326,0.1647,0.55357,0.17306,0.10693,1.3972,3.18125,2.10382,0.00113889,0.00113889,0.00113889
34,179.252,0.88437,1.26579,1.55736,0.33984,0.52232,0.38974,0.30543,1.26897,2.79638,1.86403,0.00112239,0.00112239,0.00112239
35,184.373,0.66723,0.98068,1.35315,0.42084,0.4122,0.39846,0.29021,1.22538,2.67003,1.67615,0.00110589,0.00110589,0.00110589
36,188.809,0.7848,1.55778,1.44018,0.73952,0.42857,0.37071,0.3125,1.1574,1.88679,1.56256,0.00108938,0.00108938,0.00108938
37,194.187,0.58624,1.03682,1.19919,0.82361,0.39336,0.36173,0.26215,1.24001,2.16114,1.86774,0.00107288,0.00107288,0.00107288
38,198.91,0.43014,0.87555,1.12505,0.29334,0.47619,0.36601,0.2699,1.3734,2.59634,2.00124,0.00105638,0.00105638,0.00105638
39,203.383,0.50265,1.01945,1.14089,0.62176,0.38839,0.26525,0.16966,1.25135,3.17118,1.81906,0.00103987,0.00103987,0.00103987
40,208.721,0.49126,0.82761,1.14311,0.8186,0.37651,0.38349,0.32157,1.03863,3.11084,1.57774,0.00102337,0.00102337,0.00102337
41,213.777,0.49918,0.80164,1.06965,0.86213,0.37543,0.38304,0.31889,1.13419,2.11401,1.65158,0.00100687,0.00100687,0.00100687
42,218.09,0.43728,0.86297,1.08943,0.55235,0.36458,0.33069,0.20032,1.42231,2.68862,1.82886,0.000990365,0.000990365,0.000990365
43,223.154,0.45382,0.78023,1.09416,0.35172,0.37202,0.30609,0.16757,1.98817,2.82702,2.32933,0.000973861,0.000973861,0.000973861
44,228.016,0.59601,0.97377,1.28783,0.29751,0.45525,0.33803,0.21028,1.46185,2.62103,2.00387,0.000957358,0.000957358,0.000957358
45,232.533,0.47392,0.86408,1.14314,0.05968,0.20536,0.03367,0.02236,2.0504,4.63634,2.31334,0.000940855,0.000940855,0.000940855
46,237.964,0.52634,1.1708,1.23924,0.1714,0.11012,0.09313,0.05436,2.42498,4.20033,2.62079,0.000924352,0.000924352,0.000924352
47,242.968,0.46364,0.80989,1.1469,0.43095,0.36458,0.34085,0.29811,1.18189,2.23973,1.6165,0.000907848,0.000907848,0.000907848
48,247.515,0.46122,0.8025,1.12886,0.13806,0.46726,0.24149,0.22056,0.92025,2.61773,1.4327,0.000891345,0.000891345,0.000891345
49,252.839,0.58779,0.90698,1.19045,0.27664,0.54613,0.33313,0.28067,0.94364,2.95982,1.38336,0.000874842,0.000874842,0.000874842
50,257.808,0.44515,0.79409,1.12766,0.75348,0.33333,0.32427,0.25801,0.94981,3.14928,1.38077,0.000858338,0.000858338,0.000858338
51,262.602,0.49903,0.79592,1.15307,0.72692,0.28571,0.30088,0.24008,0.91162,2.68499,1.37609,0.000841835,0.000841835,0.000841835
52,268.078,0.44759,0.82808,1.14521,0.54297,0.63048,0.47094,0.38296,0.84093,1.59519,1.37466,0.000825332,0.000825332,0.000825332
53,272.766,0.49546,0.87845,1.12432,0.81635,0.45238,0.38853,0.31569,0.86288,2.02526,1.43285,0.000808828,0.000808828,0.000808828
54,277.175,0.48133,0.90528,1.18119,0.8151,0.44649,0.38194,0.33054,0.92861,1.72597,1.40398,0.000792325,0.000792325,0.000792325
