epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.4458,2.96353,30.9129,3.01609,9e-05,0.07143,5e-05,2e-05,3.21135,51.0694,3.73495,0.0002,0.0002,0.0002
2,35.5484,2.79012,26.3187,2.84192,0.00045,0.35714,0.00041,0.00014,2.49324,16.1221,3.06095,0.000415842,0.000415842,0.000415842
3,40.3667,2.52823,8.36728,2.54159,0.00018,0.14286,0.00029,6e-05,3.21288,17.658,3.73417,0.000627328,0.000627328,0.000627328
4,45.4798,2.5851,5.27004,2.57044,0.04914,0.07143,0.0088,0.00347,3.02955,4.93306,3.85215,0.000834458,0.000834458,0.000834458
5,49.5585,2.44296,4.63649,2.57333,0.00209,0.14286,0.00219,0.00073,3.88209,10.5762,9.60068,0.00103723,0.00103723,0.00103723
6,53.5818,2.40465,4.13868,2.52027,0,0,0,0,4.90309,8.31324,10.5747,0.00123565,0.00123565,0.00123565
7,60.1583,2.43567,4.13116,2.47546,0,0,0,0,nan,nan,nan,0.00142971,0.00142971,0.00142971
8,64.1919,2.44378,4.17482,2.55355,0,0,0,0,nan,nan,nan,0.00161942,0.00161942,0.00161942
9,68.1979,2.51882,4.11517,2.55715,0,0,0,0,nan,nan,nan,0.00180477,0.00180477,0.00180477
10,73.2798,2.39521,3.89018,2.49541,0,0,0,0,nan,nan,nan,0.0018218,0.0018218,0.0018218
11,77.2595,2.34811,3.95004,2.46153,0,0,0,0,nan,nan,nan,0.001802,0.001802,0.001802
12,81.2367,2.2654,3.84464,2.41587,0,0,0,0,nan,nan,nan,0.0017822,0.0017822,0.0017822
13,86.1586,2.33403,3.82315,2.47979,0,0,0,0,nan,nan,nan,0.0017624,0.0017624,0.0017624
14,90.4613,2.35181,3.7134,2.51337,0,0,0,0,nan,nan,nan,0.0017426,0.0017426,0.0017426
15,94.3576,2.29167,3.83902,2.50693,0,0,0,0,nan,nan,nan,0.0017228,0.0017228,0.0017228
16,99.1234,2.35428,4.0986,2.57965,0,0,0,0,nan,nan,nan,0.001703,0.001703,0.001703
17,103.474,2.23986,3.79134,2.4574,0,0,0,0,nan,nan,nan,0.0016832,0.0016832,0.0016832
18,108.236,2.19776,3.85561,2.43522,0.00056,0.42857,0.00097,0.00026,nan,nan,nan,0.0016634,0.0016634,0.0016634
19,113.047,2.24379,3.61858,2.46473,0.00066,0.5,0.00071,0.00029,nan,nan,nan,0.0016436,0.0016436,0.0016436
20,117.551,2.28616,3.77814,2.47895,0.00123,0.5,0.00154,0.00058,nan,nan,nan,0.0016238,0.0016238,0.0016238
21,121.485,2.35448,3.72889,2.46191,0.00147,0.5,0.02094,0.00813,nan,nan,nan,0.001604,0.001604,0.001604
22,125.757,2.14463,3.62055,2.37179,0.00175,0.42857,0.01187,0.00324,nan,nan,nan,0.0015842,0.0015842,0.0015842
23,130.753,2.13906,3.70091,2.38681,0.00201,0.71429,0.00568,0.00189,nan,nan,nan,0.0015644,0.0015644,0.0015644
24,134.948,2.19075,3.68431,2.40783,0.0137,0.07143,0.01615,0.0067,nan,nan,nan,0.0015446,0.0015446,0.0015446
25,139.861,2.40935,3.72587,2.5319,0.005,0.28571,0.0036,0.00113,nan,nan,nan,0.0015248,0.0015248,0.0015248
26,144.833,2.06958,3.79765,2.3353,0.01805,0.07143,0.01481,0.00438,2.20491,nan,2.44926,0.001505,0.001505,0.001505
27,149.025,2.24743,3.69892,2.37005,0.00991,0.35714,0.01141,0.00331,2.16685,4.20399,2.59909,0.0014852,0.0014852,0.0014852
28,152.958,2.20355,3.62425,2.41866,0.0163,0.57143,0.01806,0.00622,1.96957,4.19646,2.28369,0.0014654,0.0014654,0.0014654
29,157.949,2.12362,3.59143,2.32374,0.0124,0.07143,0.02003,0.00883,1.89969,4.95208,2.27445,0.0014456,0.0014456,0.0014456
30,162.29,2.17674,3.57873,2.3177,0.00453,0.14286,0.00411,0.00132,2.79634,nan,3.35103,0.0014258,0.0014258,0.0014258
31,166.228,2.18848,3.51152,2.36072,0.00074,0.5,0.00093,0.00037,3.3153,nan,4.31291,0.001406,0.001406,0.001406
32,172.73,2.14125,3.56109,2.34776,0.02131,0.07143,0.02567,0.00676,3.17399,12.0899,3.72617,0.0013862,0.0013862,0.0013862
33,176.959,2.03361,3.39746,2.22416,0.00703,0.14286,0.00772,0.00242,3.19271,8.32441,4.2231,0.0013664,0.0013664,0.0013664
