epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.0452,2.81044,7.68943,3.06334,0.00024,0.07692,0.00012,4e-05,2.62492,17.8005,3.0465,0.00048,0.00048,0.00048
2,26.2651,2.81266,6.4855,2.76258,0,0,0,0,nan,nan,nan,0.000975149,0.000975149,0.000975149
3,55.7677,2.95959,4.71024,2.87939,0,0,0,0,nan,nan,nan,0.00146535,0.00146535,0.00146535
4,66.6459,2.8982,4.58004,2.84846,0,0,0,0,nan,nan,nan,0.0019506,0.0019506,0.0019506
5,77.2087,2.87019,4.63342,2.82304,0,0,0,0,nan,nan,nan,0.0019604,0.0019604,0.0019604
6,87.5162,2.83834,4.37446,2.76307,0,0,0,0,nan,nan,nan,0.0019505,0.0019505,0.0019505
7,96.8145,2.87393,4.41129,2.71411,0,0,0,0,nan,nan,nan,0.0019406,0.0019406,0.0019406
8,107.022,2.68041,4.4,2.56528,0,0,0,0,nan,nan,nan,0.0019307,0.0019307,0.0019307
9,117.895,2.77328,4.32089,2.66825,0,0,0,0,nan,nan,nan,0.0019208,0.0019208,0.0019208
10,127.584,2.54652,4.48949,2.45836,0.00015,0.07692,0.00013,3e-05,nan,nan,nan,0.0019109,0.0019109,0.0019109
11,136.916,2.63974,4.5361,2.48968,0.00026,0.15385,0.00024,5e-05,nan,nan,nan,0.001901,0.001901,0.001901
12,148.43,2.84359,4.54504,2.57619,0,0,0,0,3.17271,nan,3.53104,0.0018911,0.0018911,0.0018911
13,158.107,2.75478,4.29154,2.54035,0.00216,0.15385,0.00284,0.0009,2.49304,4.07408,2.49598,0.0018812,0.0018812,0.0018812
14,168.271,2.5789,4.35326,2.48309,0.00081,0.38462,0.00113,0.00038,nan,nan,nan,0.0018713,0.0018713,0.0018713
15,178.015,2.6111,4.65293,2.4265,0.00063,0.38462,0.00105,0.00029,nan,nan,nan,0.0018614,0.0018614,0.0018614
16,190.295,2.66869,4.25144,2.53007,0.00071,0.38462,0.00297,0.00084,nan,nan,nan,0.0018515,0.0018515,0.0018515
17,204.881,2.67453,4.16828,2.52942,0.00109,0.76923,0.00177,0.00059,2.49861,nan,2.5107,0.0018416,0.0018416,0.0018416
18,214.575,2.61567,4.09303,2.54588,0.00064,0.53846,0.00112,0.00022,2.71429,5.68078,2.60392,0.0018317,0.0018317,0.0018317
19,224.001,2.63078,4.04312,2.53824,0.00098,0.38462,0.00202,0.00051,2.61827,4.26435,2.5539,0.0018218,0.0018218,0.0018218
20,235.703,2.65596,4.153,2.5575,0.00073,0.61538,0.00121,0.00033,2.64465,4.88358,2.59004,0.0018119,0.0018119,0.0018119
21,245.571,2.62233,4.23972,2.48928,0.006,0.30769,0.03676,0.01186,2.55004,4.54121,2.50161,0.001802,0.001802,0.001802
22,257.042,2.67889,4.12402,2.55381,0.00019,0.15385,0.00011,2e-05,3.22081,4.35721,3.40874,0.0017921,0.0017921,0.0017921
23,268.669,2.56783,4.12984,2.58286,0.00081,0.53846,0.0041,0.00098,2.60195,4.26951,2.51926,0.0017822,0.0017822,0.0017822
24,276.903,2.56989,4.06789,2.55224,0.00174,0.30769,0.00277,0.00068,2.88208,4.193,2.7393,0.0017723,0.0017723,0.0017723
25,286.422,2.63594,4.17758,2.5523,0.00221,0.46154,0.00272,0.00076,2.78476,4.01507,2.64957,0.0017624,0.0017624,0.0017624
26,296.825,2.54606,4.18729,2.44586,0.00107,0.38462,0.00117,0.00024,2.6315,3.9179,2.6854,0.0017525,0.0017525,0.0017525
