epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.7104,2.85161,4.25624,4.18801,0.00094,0.15217,0.00067,0.00028,2.37318,3.84342,4.15702,0.00015003,0.00015003,0.00015003
2,28.4984,2.99981,4.27447,4.18081,0.00093,0.15217,0.00066,0.00027,2.36707,3.8393,4.14718,0.000313594,0.000313594,0.000313594
3,31.1742,2.86319,4.15568,4.1209,0.00106,0.17391,0.00093,0.00038,2.36021,3.82896,4.1296,0.000473858,0.000473858,0.000473858
4,33.7163,2.85968,4.10711,4.07769,0.00119,0.19565,0.00093,0.00034,2.35599,3.79562,4.09935,0.000630821,0.000630821,0.000630821
5,36.2968,2.71244,4.04389,3.94492,0.0013,0.27717,0.00104,0.0004,2.31705,3.6896,4.0654,0.000784484,0.000784484,0.000784484
6,39.1146,2.76096,3.93412,3.80355,0.00184,0.36413,0.00157,0.00059,2.26413,3.67482,3.99352,0.000934845,0.000934845,0.000934845
7,42.434,2.7151,3.84909,3.67499,0.00121,0.25543,0.00242,0.00118,2.21274,3.70644,3.78596,0.00108191,0.00108191,0.00108191
8,44.9883,2.71432,3.77464,3.60655,0.00093,0.13043,0.00115,0.00044,2.0726,4.01483,3.38854,0.00122567,0.00122567,0.00122567
9,47.5457,2.8219,3.78203,3.52538,0.00095,0.13043,0.00142,0.00056,1.98321,4.1555,3.30393,0.00136613,0.00136613,0.00136613
10,50.0934,2.67037,3.78662,3.36984,0.00122,0.25543,0.00107,0.00043,1.89329,4.61949,3.11729,0.00150329,0.00150329,0.00150329
11,53.3112,2.55864,3.67413,3.24925,0.00123,0.25543,0.00108,0.00044,2.04334,4.55917,3.15963,0.00150197,0.00150197,0.00150197
12,56.1874,2.63518,3.67858,3.30283,0.00091,0.15217,0.0009,0.00024,2.34957,3.94062,4.37676,0.00148546,0.00148546,0.00148546
13,58.6941,2.62104,3.67234,3.26015,0.00039,0.02174,0.00038,0.00022,2.23827,4.08953,3.59866,0.00146896,0.00146896,0.00146896
14,61.3392,2.66243,3.61053,3.24946,0.00117,0.41848,0.00144,0.00051,2.26085,3.8671,3.26451,0.00145246,0.00145246,0.00145246
15,63.7624,2.55051,3.57615,3.14212,0.00237,0.45109,0.00322,0.00094,2.21314,3.77469,3.54935,0.00143595,0.00143595,0.00143595
16,67.3381,2.6586,3.56173,3.21058,0.00132,0.21739,0.0029,0.00076,2.13764,3.76755,3.184,0.00141945,0.00141945,0.00141945
17,69.8106,2.55272,3.46646,3.08484,0.00164,0.32065,0.00378,0.00163,2.17535,3.63589,3.08153,0.00140295,0.00140295,0.00140295
18,72.4327,2.54273,3.50732,3.11847,0.00174,0.32065,0.0032,0.00135,2.01322,3.961,2.94379,0.00138644,0.00138644,0.00138644
19,74.9759,2.56836,3.51159,3.03828,0.00217,0.46739,0.00321,0.00126,2.00126,4.43664,2.88481,0.00136994,0.00136994,0.00136994
20,78.0771,2.48588,3.5189,3.07221,0.00238,0.51087,0.00368,0.00121,2.00215,3.97127,2.8855,0.00135344,0.00135344,0.00135344
21,81.0634,2.61473,3.43641,3.0464,0.00308,0.70109,0.00913,0.00215,2.12583,3.98681,2.95766,0.00133693,0.00133693,0.00133693
22,83.6217,2.41258,3.3928,2.96484,0.00259,0.47283,0.00752,0.0022,2.13121,3.86551,3.15426,0.00132043,0.00132043,0.00132043
23,86.165,2.47891,3.43229,3.02058,0.00611,0.15217,0.01443,0.00333,2.12102,4.03409,3.08796,0.00130393,0.00130393,0.00130393
24,88.6883,2.42147,3.44157,2.98424,0.00376,0.7663,0.00974,0.00252,2.09924,4.03989,2.94844,0.00128742,0.00128742,0.00128742
25,92.3535,2.47691,3.37161,3.02661,0.00437,0.93478,0.01293,0.00379,1.98576,3.62231,2.92432,0.00127092,0.00127092,0.00127092
26,94.8458,2.48273,3.37995,3.02593,0.00892,0.1087,0.012,0.00377,2.06179,3.60704,2.90179,0.00125442,0.00125442,0.00125442
27,97.369,2.49831,3.33282,3.04557,0.00958,0.85326,0.01807,0.00532,2.12327,3.23761,2.92176,0.00123791,0.00123791,0.00123791
28,99.9519,2.45495,3.30592,3.02063,0.0046,0.875,0.04428,0.01016,2.08918,3.22174,2.83649,0.00122141,0.00122141,0.00122141
29,102.535,2.37672,3.23976,2.98096,0.02251,0.55435,0.03951,0.00847,2.16405,3.28787,2.87101,0.00120491,0.00120491,0.00120491
30,106.03,2.44819,3.23659,3.02555,0.02381,0.40761,0.03002,0.01001,2.09389,3.16529,2.75418,0.0011884,0.0011884,0.0011884
31,108.614,2.44802,3.2185,2.94558,0.01848,0.38587,0.03441,0.0115,2.11495,3.1878,2.78632,0.0011719,0.0011719,0.0011719
32,111.196,2.47524,3.2288,2.97989,0.02919,0.36413,0.02616,0.01054,2.13647,3.71446,2.70756,0.0011554,0.0011554,0.0011554
33,113.697,2.41967,3.21488,2.92606,0.02486,0.15217,0.04849,0.02112,2.12061,3.55502,2.64333,0.00113889,0.00113889,0.00113889
34,116.86,2.43294,3.19196,2.9845,0.52837,0.1087,0.04979,0.01724,2.20995,3.13575,2.77037,0.00112239,0.00112239,0.00112239
35,119.771,2.35272,3.16589,2.94434,0.52059,0.06522,0.06194,0.01535,2.09518,3.62542,2.72181,0.00110589,0.00110589,0.00110589
36,122.397,2.41606,3.16106,2.97673,0.01469,0.40761,0.02049,0.00695,2.013,4.66198,2.66557,0.00108938,0.00108938,0.00108938
37,124.976,2.40673,3.13681,2.94034,0.01058,0.59783,0.03629,0.00965,1.99151,3.61404,2.72587,0.00107288,0.00107288,0.00107288
38,127.509,2.31572,3.03394,2.93741,0.02992,0.21739,0.03126,0.00915,1.97344,3.67043,2.73337,0.00105638,0.00105638,0.00105638
39,130.904,2.36927,3.07537,2.93209,0.04888,0.21739,0.05844,0.01787,2.03534,3.4656,2.8127,0.00103987,0.00103987,0.00103987
40,133.606,2.29225,3.07131,2.88115,0.05995,0.19565,0.06563,0.01601,2.09634,3.01009,2.93891,0.00102337,0.00102337,0.00102337
